@relation _home_hfernandes_Development_git_hf-tese_weka

@attribute text string
@attribute @@class@@ {positive,negative,neutral}

@data
'BE/Louçã ,aos poucos ,  vão sendo de facto uma alternativa de Governo.',positive
'Jerónimo de Sousa é muito correcto na linguagem que utiliza nos debates.',positive
'Ao contrário do que dizem ,  Sócrates esteve bem e venceu claramente.',positive
'O BE está a incomodar tanto!',positive
'Sócrates ,  com defeitos e virtudes ,  demonstrou estar à altura do cargo de Primeiro Ministro também no plano das relações internacionais.',positive
'Para todos os efeitos quem ganhou com os debates foi ,  claramente ,  o Portas.',positive
'vou votar Sócrates.',positive
'Com o Louçã cairá ao primeiro assalto.',positive
'Jerónimo mostrou-se mais solto e penso que venceu o debate.',positive
'E o BE é a esquerda moderna e voltada para o futuro.',positive
'não há forma de disfarçar a fanfarronice MAIORIA para Socrates e temos um Portugal decente... ',positive
'Não basta o Louçã andar a cilindrar adversários na TV (  ainda que os comentadores de serviço finjam que não foi nada disso ) .',positive
'Creio que Ferreira Leite têm razão neste aspecto...deixemo-nos de grandes obras faraónicas para um país pequeno. que tem de evoluir nas medidas sociais.',positive
'ah grande Louçã dá-lhes nesse neoliberais falsos amigos dos banqueiros ,  dos lobbies empresarias ,  dos ricos vazios de carácter ,  de ética e de tudo e que se estão nas tintas pra quem passa fome ,  p\'ra quem vai para o desemprego ,  para as pensões de miséria ,  o desejo deles é despedir os trabalhadores ,  (  que desperdício ter que lhes dar umas migalhas )  e substituí-los por robots ,  acreditem é gente desta estirpe ,  o empregador neoliberal do futuro!',positive
'Louçã foi genial.',positive
'O debate ajudou-me a perceber votarei BE.',positive
'Apesar de ter estado abaixo das expectativas ,  Louçã ganhou o debate.',positive
'É evidente que não houve nenhum empate e que Sócrates ganhou e debate de ontem.',positive
'Claramente que Sócrates ganhou o debate porque :  o líder do PCP não disse nada e Sócrates enumerou um conjunto de medidas que fez de uma tal forma que até parece que vivemos no país mais desenvolvido da Europa :  fiquei a saber quer se não fossem os estágios nas instituições de solidariedade social o número de desempregados neste país era maior :  o deficit foi controlado (  ainda não percebi esta do deficit porque se em 2004 foi inferior a 3 \% e actualmente é superior não percebo onde está o controlo -  não me venham com a dos 6,tal \% em 2005 porque aquilo era uma estimativa efectuada por um governo acabado de entrar em funções logo....tá tudo explicado )  :  as novas oportunidades formaram 900.000 portugueses (  do que ouvi falar elevar a formação através deste \"  expediente \"  é igual ao que as más línguas falam da licenciatura do Sócrates) .',positive
'Jerónimo ganhou o debate.',positive
'Creio que Ferreira Leite têm razão neste aspecto...deixemo-nos de grandes obras faraónicas para um país pequeno. que tem de evoluir nas medidas sociais.',positive
'Louçã ganhou claramente o debate.',positive
'Com o BE ,  não pagaria nada com o ensino do meu filho que está no Público e pagaria tudo com o outro que está no Privado.',positive
'Quanto mais comentários aparecem a denegrir a imagem de Manuela Ferreira Leite ,  mais vontade tenho e vou votar nela mesma.',positive
'O Socrates esteve bem neste primeiro debate.',positive
'Francisco Louçã demonstrou que quando vai a estes debates ,  se prepara e consulta o programa do opositor ,  como a sua passagem em cargos governativos.',positive
'Jerónimo deve ter vindo com novo ânimo com o enorme êxito da Festa do Avante.',positive
'O Público neste título baralha sondagens com análise do debate que foi claramente ganho por Sócrates.',positive
'Continuo a achar que temos Homem e 1º Ministro.',positive
'Não que a Manuela Ferreira Leite seja a pessoa mais simpática e comunicativa ,  longe disso ,  mas aprendi a ver que é mais falta de jeito do que falta de carácter.',positive
'No dia 27 voto BE não sou camelo.',positive
'A questão da segurança e educação são pontos claros a favor do actual PM.',positive
'Podem dizer mta coisa mal do Socrates... mas eu tenho muita inveja da geração que vai usufruir destas novas condições.',positive
'Bom debate que mais uma vez Jerónimo de Sousa venceu porque não precisa de mentir!',positive
'O PM manteve-se calmo ! ',positive
'Portas ganhou o debate.',positive
'Louçã não é apenas alternativa é a única alternativa.',positive
'Jerónimo é um político e um trabalhador honesto ,  activo e muito dedicado.',positive
'O debate foi bom ,  mas quanto a mim foi mérito do Portas.',positive
'Portas ganhou o debate.',positive
'Porque razão entende o Francisco Louçã que não devem existir deduções à colecta de IRS para Saúde e Educação que só beneficiam os mais cultos e informados assim como os mais espertalhões?',positive
'Socrates é a alternativa ,  e temos de ser sérios com o seu trabalho.',positive
'Jerónimo ganhou no capitulo da concorrencia.',positive
'Francisco Louçã tem tudo para governar este pais como nunca ninguém governou.',positive
'Portas muito seguro ,  ele é sem duvida o lider partidàrio que melhor se explica em Portugal e que mais claramente expoe as soluçoes que o seu partido propoe para o futuro.',positive
'Concorde-se ou não Louçã propôs soluções diferentes das que tem sido adoptadas pelos socialistas neoliberais de direita deste governo.',positive
'Portas falou de medidas a implementar bem interessantes.',positive
'Aliás ,  todos os comentadores de TV logo a seguir ao debate deram uma vitória folgada ao Paulo Portas.',positive
'Acho k a juventude esclarecida irá decidir-se por Sócrates.',positive
'Ficou claro que quem ganhou o debate foi Paulo Portas.',positive
'Nao sendo partidario mas sim Idealista e Humano prefiro mais defender o mais logico e neste momento e desde muito tempo o Socrates tem sabido governar e mesmo com as dificuldades que todos nos conhecemos.',positive
'Socrates é um politico preparado e competente.',positive
'Sócrates ganhou o que havia para ganhar.',positive
'Nunca votei no BE ,  mas agora já não sei não.',positive
'Eu ,  gato escaldado ,  agora voto BE.',positive
'Louçã ,  esteve muito melhor ,  mas podia ter sido mais peremptório.',positive
'Portas muito seguro ,  ele é sem duvida o lider partidàrio que melhor se explica em Portugal e que mais claramente expoe as soluçoes que o seu partido propoe para o futuro.',positive
'Francisco Louça é um economista brilhante ,  um pensador e alguem de grande humanidade.',positive
'Não só ver uma mulher a disputar um ofício de homens ,  como recordar o que esta SENHORA fez como Ministra das Finanças.',positive
'Socrates ganhou claramente o debate.',positive
'Ao contrário ,  o Portas disse que os impostos estavam altos e apresentou a sua proposta de como baixar os impostos.',positive
'O BE tem vindo ,  sem margem para dúvida ,  a mostrar o quanto merece a oportunidade para governar.',positive
'Ao contrário do que dizem ,  Sócrates esteve bem e venceu claramente.',positive
'O ataque foi efectuado ignorando ,  propositadamente ,  que esses benefícios deixariam de ter razão de existir porque o BE se propunha a um sistema de saúde e ensino gratuitos.',positive
'A MFL é uma pessoa que me fascina.',positive
'eu já julguei e condenei o portas pelo seu governo em 2005 agora a questa é julgar o Pinoquio o qu ele fez é que me interessa é ele que eu condeno agora dia 27 voto no paulo das feiras ,  até porque eu sou feirante e tenho orgulho nisso pelos vistos estes socialistas sao finos demais para olharem por gentinha das feiras',positive
'Socrates dominou o debate em todas as matérias.',positive
'Sócrates ,  com defeitos e virtudes ,  demonstrou estar à altura do cargo de Primeiro Ministro também no plano das relações internacionais.',positive
'Portugal já merece um primeiro ministro honesto e competente como o Louçã.',positive
'Concordo inteiramente com MFL quando esta aposta nas PME´S.',positive
'Agora a verdade é uma,não houve vencedores,mas Sócrates ficou aquem do seu habitual tipo de abafar o adversário,mas isto teve como obstáculo a forma do debate e suas regras e a verdade seja dita, Portas atacou bem e rebateu os pontos principais que Socrates tentou como de costuma evidenciar na sua governação.',positive
'Estou seriamente inclinado a votar Ferreira Leite nas próximas Legislativas.',positive
'Sem dúvida que o Debate foi ganho pelo Paulo Portas.',positive
'O \"  crime \"  de José Sócrates e governo foi de ter o atrevimento de mexer com os poderes e interesses instalados e acabar com a inércia em pedras basilares do País.',positive
'Houve um vencedor no debate e esse foi Sócrates.',positive
'ah grande Louçã dá-lhes nesse neoliberais falsos amigos dos banqueiros ,  dos lobbies empresarias ,  dos ricos vazios de carácter de ética e de tudo e que se estão nas tintas pra quem passa fome ,  para quem vai para o desemprego ,  se eles pudessem mandavam tudo pra rua e substituiam os trabalhadores por robots ,  acreditem são gente dessa estirpe!',positive
'Sócrates ganhou o que havia para ganhar.',positive
'Louçã hoje foi simplesmente brilhante , .',positive
'O que eu não consigo perceber é porque é que vocês não gostam da MFL.',positive
'Todos os comentadores tiveram que reconhecer que Sócrates ganhou o debate!',positive
'Se as eleições fossem hoje possivelmente votaria MFL por falta de opções crediveis.',positive
'Quem queira ver Portugal rumo a um futuro risonho votará Sócrates.',positive
'Na segurança ,  o actual PM ripostou bem com números a situação actual e puchou a memória do passado \"  Você esteve lá e não fez ...  \" .',positive
'Portas é um excelente político que tenta ganhar o seu espaço junto do eleitorado de uma forma quase religiosa e determinada.',positive
'Socrates é um primeiro ministro com visão e amplitude.',positive
'Portas ganhou o debate!',positive
'Penso que o CDS está melhor preparado em termos de politicas sociais e económicas (  Portas esteve muito bem a mostrar as diferenças )  para combater a crise e penso que poderá ajudar a classe média que foi fustigada pela actual governação socrática.',positive
'Jerónimo deve ter vindo com novo ânimo com o enorme êxito da Festa do Avante.',positive
'Vamos dar a Sócrates mais uma oportunidade para completar o seu trabalho em prol do país.',positive
'Criou-se a campanha contra o Socrates ,  os ignrnts acreditam no k se diz na TV e desceu a popularidade dele.',positive
'Eu voto BE.',positive
'O Sócrates é inteligente ,  temos que o reconhecer ;  ',positive
'Jerónimo mostrou-se mais solto e penso que venceu o debate.',positive
'Diga-se o que se disser Manuela Ferreira Leite é uma pessoa muito competente ,  seriedade absoluta e sabe do que fala ,  disso ninguém duvide.',positive
'É o PM deste País e representa o partido,que nas últimas legislativas ,  teve a maioria absoluta.',positive
'Estamos fartos de populismo e do vira casacas do Sócrates que agora quer vestir a pele de cordeiro quando esteve 4 anos a congelar escalões ,  a congelar aumentos e a recusar fazer o que prometeu.',negative
'Eu sei o que são as propostas do BE ,  e nos debates tem ficado clara a sua irresponsabilidade.',negative
'O discurso de Louçã tornou-se ,  para mim ,  insuportavelmente demagógico.',negative
'Depois ,  Ferreira Leite sob pressão é um festival de gaffes e de nervosismos e inseguranças desnecessários.',negative
'O BE vive da mentira e do embuste.',negative
'\"  Mas algum dia o Sócrates clarificou alguma coisa?Depois diz que não reconduzirá nenhum ministro no caso de permanecer no Governo ,  e faz muito bem ,  o primeiro também.',negative
'Quanto aos debates ,  a idosa MFL não ganhou nenhum.',negative
'A humildade que Sócrates descobriu recentemente ,  não passa de embuste.',negative
'O Jerónimo de Sousa foi um nabo.',negative
'O erro que não posso perdoar ao Dr Paulo Portas foi o ter-se demitido para depois regressar à liderança do CDS-PP ,  talvez tivesse o meu voto nestas eleições se não tivesse tido esta atitude.',negative
'E ainda Jerónimo queria mais ,  Deus nos livre.',negative
'Patético é alguem admitir que MFL tenha perfil e competência para poder governar o país.',negative
'Sócrates passou o debate a falar do Programa do Bloco.',negative
'Foi uma verdadeira rodada de ginja ao pagode e ao Jerónimo.',negative
'A MFL é uma pessoa que é doente velhota.',negative
'Socrates ganhou em propaganda e perdeu em substancia e credebilidade.',negative
'Não gosto do Paulo Portas.',negative
'Vamos conseguir tirar de lá o Sócrates.',negative
'Foi muito util cá em casa o debate de ontem ,  mas já tinha decidido que este BE já não é aquele em que votei desde o principio',negative
'E é patético o PM vir dizer que \"  quando o PS perde ,  a direita vai para o poder \" .',negative
'Manuela Ferreira Leite está preparadissima para governar um capoeiro de galinhas sem galo.',negative
'É que discutir estes temas de modo sério ,  iria expor a política de fantasia deste PM acerca destes 2 assuntos ,  que são vitais para os Portugueses.',negative
'Sócrates quando fala de educação não faz mais que mentir :  que QUE FRAUDE !  ! !',negative
'José Sócrates tem demonstrado que a mentira é um método racional de se atingirem objectivos préviamente definidos.',negative
'Não vejo como Sócrates possa ter vencido este debate.',negative
'Sócrates insultou os portugueses ontem à noite ,  ao não querer entender a contradição das deduções fiscais na saúde e educação ,  num cenário em que as duas seriam gratuitas para todos !  ! !',negative
'Louça ficou mal,porque a auto-estrada não vai ser adjudicada,mas todos os outros casos,como a galp,contentores ou do presidente de Angola em que Louça expôs as contradições de Sócrates já não houve problema.',negative
'Isto claro só vem reforçar a minha convicção de que o Sócrates é um sujeito mal formado.',negative
'É por isto que digo que Sócrates é demagógico ,  levando muitos à certa.',negative
'Pode -se compreender que foi um debate politico no sentido proprio ,nada a ver com os dois precedentes,sobretudo aquele com o Paulo Portas que eu nunca votaria em tal pessoa;arrogante,falso e foge a certas perguntas como o Rato foge do Gato.',negative
'Mas o Sócrates mente descaradamente.',negative
'Passado um pouco MFL continuava a perguntar-lhe onde iria elebiuscar a massa.',negative
'Só os \"  radicais \"  do socretismo podem achar que o Socrates ganhou.',negative
'E o caso da Islândia é paradigmático ,  pois ensina Sócrates que tem preconceito contra os privados ,  que os estados também podem ir à banca rota.',negative
'O BE pode prometer tudo porque sabe que nunca formará governo.',negative
'Sócrates foi desmascarado com alguns dos seus acordos ruinosos para o Estado.',negative
'Quando o Louçã começou com blá blá do costume ,  omitindo as medidas que propôe no programa , este puxa do catrapásio ,  e leu-lhe na sua cara ,  mostrando que nada condizia ,  com a sua propaganda ,  o Louçãficou descorado ,  apanhou um KO ,  ainda tentou barafustar ,  com aquela voz grossa ,  professoral ,  mas nunca mais equilibrou ... .',negative
'A MFL tem um discurso incoerente com os seus próprios príncipios ,  quem preconiza que o crescimento económico através da dinamização das empresas é uma prioridade e logo depois tece comentários no limite da xenofobia ao maior parceiro económico e comercial de Portugal não pode aspirar a governar.',negative
'Assim ,  Sócrates não vai lá.',negative
'O jerónimo de sousa ,  parecia que estava sob efeitos de sedativos ,  foi um pardalito ,  demasiado fácil de depenar ... .',negative
'Sócrates apresenta-se como vendedor da banha da cobra.',negative
'Portugal não pode continuar nesta palhaçada permanente ,  nesta propaganda non-stop a que Sócrates nos quer habituar (  agora ,  a três semanas das eleições ,  na versão \"delicadeza e sensibilidade de esquerda\" ) .',negative
'O PS de José Sócrates de socialista apenas tem o nome.',negative
'Surpreendente é que agora ,  em 2009 ,  o mesmo Francisco Louçã aceite que um padre católico seja mandatário do Bloco de Esquerda pelo círculo de Viseu nas eleições do próximo dia 27.',negative
'A MFL não pode dizer que os impostos estão demasiadamente altos ou excessivamente altos e depois apenas prometer que não os irá aumentar.',negative
'Sr Sócrates faça o favor de saber quem é porque merece ser pago pelo trabalho!',negative
'Peço desculpa aos comentadores ,  mas so mesmo sendo de Lisboa é que se pode apoiar uma pessoa como Francisco Louça.',negative
'Convém lembrar que esta senhora que agora ataca os espanhois é a mesma que perdoou uma dívida de 1 milhão de euros ao Santander Totta quando foi Ministra das Finanças que depois lhe \"  ofereceu \"  um cargo na Administração quando saiu do governo .  . .',negative
'Que haja quem ainda perca tempo a ouvir José Sócrates ,  vá que não vá!',negative
'Portugal está ,  por culpa exclusiva de Sócrates e da sua falta de sentido de Estado e de maturidade ,  num espartilho que lhe tolhe os movimentos.',negative
'Eu acho que o Socrates esteve quase para pedir um intervalo... que tareia !  ',negative
'Sócrates não teve pedalada!',negative
'Acho muita graça ,  quando o Sr Pinto de Sousa (PM) diz que o governo tomou medidas para o aumento do salário minímo nacional, mas esqueceu-se de dizer que foi à custa de vários despedimentos, porque realmente quem teve que pagar essa medida não foi o governo mas sim as empresas e muitas delas já com dificuldades para cumprir o pagamento de impostos principalmente as pequenas e médias empresas.',negative
'E ainda Jerónimo queria mais ,  Deus nos livre.',negative
'Louçã foi tão somente apanhado na sua própria ratoeira ,  alinhando pelo truque que está a dar e que consiste em falar contra os privilégios dos ricos para na verdade atingir todos os cidadãos.',negative
'Arrumada a questão da MFL que comprovadamente demonstrou que era retrógrada ,  xenófoba(cabo-verdianos ,  ucranianos ,  espanhóis... )  enfim ,  um verdadeiro atraso de vida !  ! !',negative
'Vi um PM farsante ,  frouxo ,  humilde ,  acabado ,  muito para além do prazo de validade.',negative
'Sócrates atingiu aquele ponto em que divide profundamente os Portugueses ,  em lugar de os unir.',negative
'Já Sócrates tem apenas o peso do dinheiro do Freeport no bolso \"  Hugo Boss \"  eum certo medinho de origem..... inglesa.',negative
'Revelando fragilidades e comprometido ,  provavelmente pela falta de transparência e isenção manifestada nesta legislatura ,  Sócrates ,  permitiu a humilhação ao insistir na questão fiscal.',negative
'O Sócrates que diz ser engenheiro já está a fazer contas e já sabe que não existem analfabetos suficientes para que ele consiga chegar ao governo sozinho.',negative
'O Sócrates foi mais uma vez postiço.',negative
'Basta perguntar na Ordem dos Engenheiros se alguma vez reconheceram cursos da Universidade Independente para se ficar a saber que o Sócrates é Bacharel e não Licenciado em Engenharia como ele afirma ser.',negative
'Como é possivel dizer que Portas ganhou o Debate?',negative
'Os que procuram uma esquerda moderada ,  iludem-se com as tretas do BE e votam neles . .',negative
'Pensei que o baixo nível de comentários do Sócrates fosse de propósito ,  uma armadilha para os seus adversários.',negative
'Portas neste debate foi o popular empata ,  que só complica um caminho que se quer pacífico e paulatino.',negative
'Louçã nada mais é do que uma pintura nova num carro velho.',negative
'os debates televisivos foram esclarecedores e muito constrangedores para a MFL ,  mas não só.',negative
'Sócrates não está desempregado ,  porque não é licenciado',negative
'Nenhum comentador se refere ao ar sisudo e incomodado ,  à atitude zangada de Sócrates que não sabe lidar com a diferença ou seja com a democracia .  . .',negative
'Mostrou o radicalismo do BE ,  que defende nacionalizações e fim dos benefícios fiscais para a educação e saúde.',negative
'E não tenham dúvidas de que Manuela Ferreira Leite ,  uma vez no poder ,  não acabará com a divisão da carreira em duas (  ou mais )  categorias ,  nem com a avaliação em função do desempenho.',negative
'Agora a verdade é uma,não houve vencedores,mas Sócrates ficou aquem do seu habitual tipo de abafar o adversário,mas isto teve como obstáculo a forma do debate e suas regras e a verdade seja dita,Portas atacou bem e rebateu os pontos principais que Socrates tentou como de costuma evidenciar na sua governação.',negative
'Sócrates foi desmascarado com alguns dos seus acordos ruinosos para o Estado.',negative
'O PS do Sócrates quanto a Democrático tem pouco ,  por isso nada tenho a acrescentar ao que já tem sido dito.',negative
'O Sócrates é tão Engenheiro como eu sou calceteiro marítimo!',negative
'As teses do PP sobre o RSI e o salário minimo nacional só podem ser obra de alucinados numa torre de marfim social!',negative
'Como o voto é secreto não direi óbviamente sobre em quem recairá a minha escolha ,  mas não é certamente em MFL ,  nem em partidos radicais ou demagôgos.',negative
'Como não quero nada com o PS ,  não irei votar em Sócrates.',negative
'Sócrates tem muito pouco sentido de Estado ,  acho eu.',negative
'Louça e o BE comprometem-se a acabar com os benefícios fiscais em IRS (  PPR ,  despesa educaçao e saúde deixam de ser dedutiveis ) .',negative
'Se o palhaço do paulo Portas não tivesse nascido em berço de Ouro filho do Arqº Nuno Portas e da Helena Sacadura e não conseguir emprego como iria sobreviver a sua a minha a custa de todos os Portuguêses além só conhece agora os Portuguêses a convenser para o porem no poleiro para comer a sua a nossa custa a custa de todos os Portugêses beija agora porque precisa desde feiras a lares da terceira idade depois não conhece ninguèm.',negative
'Será que Louçã está meses à espera para ter por exemplo uma consulta de especialidade nos serviços públicos?',negative
'O Paulinho das Feiras está radiante e já pula de contente com a perspectiva de voltar para o governo.',negative
'Se Sócrates não fosse de direita falava já em ISP igual para a gasolina e para o gasóleo e em declarações de IRS em cima da mesa para consulta pública na repartições de finanças.',negative
'Louçã parece um senhor do século passado com a suas ideologias.',negative
'Não me parece que Sócrates esteja à altura do cargo ,  pela arrogância que demonstra e que ficou bem patente na tirada em que se armou em moralista pregando sobre a importância de ser humilde.',negative
'Porque razão não somos directos ,  precisos e objectivos e dizemos que Sócrates governou promovendo a subserviência ,  favorecendo o clientelismo e degradando o país ,  ou seja ,  governou mal.',negative
'Como Sócrates já não tinha ,  nem tem ideias nem nada a prometer para o futuro do país... fez o que podia fazer .  . .',negative
'Quanto à parvalheira de Sócrates sobre a retirada dos benefícios ,  é óbvio que num estado em que a saúde é um direito universal e em que a mesma funciona bem (  pois aplicar-se-ia o capital necessário na mesma )  não se pode dar benefícios pelos caprichos de alguns irem ao privado!',negative
'Duvido que Socrates seja Engenheiro .',negative
'Caro Gungunhana ,  podes ter razão em comparar a tua avó à Manuela Ferreira Leite ,  não conheço a tua avó (  as minhas eram bem mais simpáticas mas eu sou um homem de sorte ) .',negative
'Mas o Sócrates anda ultimamente um pouco tralharouco.',negative
'O programa do BE é \"  espantoso \"  ,  eu ainda diria mais ,  é ESPANTOSO !  ! !',negative
'Paulo Portas apagou-se e anunciou a sua retirada da arena ,  só que ainda não sabe.',negative
'O engano da senhora Ferreira Leite sobre o IRC foi muito mais que um engano ,  foi uma revelação.',negative
'O populismo de Louçã ,  tinha um dia que ser desmascarado,cavalgou todos os descontentamentos tentando ganhar votos e ,  até ontem parecia conseguir.',negative
'Manuela Ferreira Leite perdeu os votos da Direita ,  já que tantas vezes fez suas as palavras de Louça ,  e perdeu os votos dos eleitores do PS reflectindo um programa eleitoral demasiado vago ,  reforçando políticas falhadas de outros governos onde a própria participou :  sem respostas e sintético -  \'  é ! \'',negative
'Sócrates desesperou .  . .',negative
'Vi o debate,este foi sem interesse ,acusador e sem proposiçoes viaveis e concretas,da parte de Ferreira Leite sem capacidade de argumentaçao e de mostrar aos portugueses o que realmente faria.',negative
'Jerónimo de Sousa é um político \"  teórico \"  enganador e que fica sem argumentação perante os factos da realidade prática.',negative
'Aquilo foi cá uma coça ,  que o Socrates devia te ficado com nódoas negras no corpinho ! !',negative
'Socrates para mim é um animal politico que só pensa nele.',negative
'Em terreno neutro viu-se a vulnerabilidade de Sócrates.',negative
'já repararam que MFL não articula o pensamenbto ?  pode ser giro amandar bocas na campanha ,  mas querem alguem a governar o país aos implusos e insultos ?  que remédio ,  lá terei que votar no socrates',negative
'Neste debate em que o jesuíta Louçã repetiu ideias velhas sob roupas novas,trazendo de novo a tralha marxista das nacionalizações e o discurso patético do casamento dos homossexuais ,  lembrei-me da velha frase de Lincoln \"  podemos enganar algumas pessoas todo o tempo.',negative
'Se Sócrates não ganha é o fim da sua carreira política ,  por isso realmente ele era capaz de vender a alma ao diabo para vencer no dia 27.',negative
'Sócrates é uma anedota ,  com um programa que é um verdadeiro pastelão de pormessas por cumprir ,  deixa um país mergulhado no desemprego ,  endividade e depressivo ,  e depois vem dizer que os outros são negativistas ,  quando foi ele o responsável pela situação a que chegamos',negative
'Como o discurso político vive de meias verdades ,  o ainda PM ,  insistiu em deturpar o sentido da proposta bloquista que defende ,  a extinção de alguns benefícios fiscais.',negative
'Gostava de ter visto o Louçã explicar como é que podiam ter sido criados empregos com a economia mundial a recuar 3 ,  4 ou 5 \%.',negative
'O impostor foi Portas que votou uma lei que agora critica e que nem se dignou a responder à pergunta se tinha votado ou não.',negative
'Socrates chegou a ter até o fundador do CDS como ministro !  ',negative
'Da redacção da RTP queixam-se que a cadeira de Sócrates estava molhada ,  e a alcatifa esfarelada.',negative
'Grande banhada levou o Sócrates com a questão do fim dos benefícios fiscais.',negative
'O Louçã não presta.',negative
'Confesso que quase cheguei a ter pena da Manuela Ferreira Leite.',negative
'Sócrates continua com a mesma conversa já gasta!',negative
'Sócrates está a seguir à risca o que lhe dizem os estrategas da imagem que foram contratados para o efeito.',negative
'Mas eis que cora e embatuca confrontado com o seu próprio programa e nem foi preciso falar das chinchilas ,  que é um problema de grande importancia para o BE.',negative
'Anónimo de Lisboa o que u vi foi a MFL ,  mudar de opinião como qum muda de camisa ,  não me convenceu e tenho muita pena que os tugas queiram à frente do país esta retrógrada.',negative
'O programa do BE é uma grande obra de ficção científica dos nossos tempos :  absolutamente irrealista e com traços lunáticos.',negative
'Jerónimo de Sousa foi uma verdadeira decepção!',negative
'Foi uma vergonha e revelador de falta de ideas ,  José Sócrates ter insistido tanto no programa do BE ,  sobre o fim dos benefícios fiscais nas contas PPR e Poupança Educação.',negative
'Mas as caretas de Sócrates ,  que são o espelho das suas atitudes políticas ,  entusiasmaram-me!',negative
'Paulo Portas foi ultrapassado pelo seu próprio discurso mastigado e regorgitado ,  transformado pelo tempo num discurso cunhalista de direita.',negative
'Chamar Engenheiro ao Sócrates é algo que acho um absurdo porque desqualifica todos os que realmente o são!',negative
'Sócrates dá a imagem de um político gasto ,  esgotado ,  falho de ideias e dinâmica.',negative
':  ora se o homem (  Louçã )  quer um ensino público gratuito e um serviço nacional de saúde também gratuito ,  quais são as despesas que querem colocar no IRS?',negative
'Para Louçã ,  agora os ministros da Igreja Católica já podem fazer campanha política ,  desde que ,  claro está ,  o façam pelo seu Bloco.',negative
'Se Ferreira Leite ganhar as eleiçoes,a pobreza em Portugal vai duplicar ja agora esta é enorme.',negative
'PP é um mentecapto e um mentiroso ,  que só pretende enganar o POVo para lhe caçar os votos.',negative
'Finalmente ,  percebeu-se ,  entre outras coisas ,  que Ferreira Leite não quer nada com a Espanha (  e a Europa )  ,  destino principal dos produtos portugueses.',negative
